experiment.name,experiment.seed,training.epochs,training.batch_size,training.threads,training.val_split,training.autotune,dataset.manifest,dataset.filters.include_negatives,dataset.filters.balance,dataset.filters.max_per_class,dataset.filters.quality,dataset.filters.positive_subsets,dataset.filters.negative_subsets,dataset.filters.call_type,dataset.filters.source_root,dataset.filters.splits,dataset.filters.manifest,dataset.filters.seed,metrics.iid.best_f1.threshold,metrics.iid.best_f1.precision,metrics.iid.best_f1.recall,metrics.iid.best_f1.f1,metrics.iid.best_f1.accuracy,metrics.iid.auroc,metrics.iid.auprc,metrics.ood.best_f1.threshold,metrics.ood.best_f1.precision,metrics.ood.best_f1.recall,metrics.ood.best_f1.f1,metrics.ood.best_f1.accuracy,metrics.ood.auroc,metrics.ood.auprc,metadata.timestamp,metadata.git_commit,training_args.fmin,training_args.fmax,analyzer_args.fmin,analyzer_args.fmax,analyzer_args.sensitivity,training_args.overlap,analyzer_args.overlap,training_args.focal-loss,training_args.focal-loss-gamma,training_args.focal-loss-alpha,training_args.learning_rate,training_args.hidden_units,training_args.mixup,training_args.dropout,training_args.label_smoothing,training_args.upsampling_mode,training_args.upsampling_ratio,validation_package.used,validation_package.positive_count,validation_package.negative_count,validation_package.total_count
01_baseline,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,,,,,data\splits,['train'],data\manifest.csv,123.0,0.05,0.991,0.979,0.985,0.979,0.988,0.993,1.0,0.787,0.907,0.843,0.827,0.849,0.782,2025-12-08T17:40:48.461618Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,,,,,,,,,,,,,,,,,,False,,,
000_OldModel2024_baseline_mc25_sens50_seed01,1,,,,,,data/manifest.csv,,,,,,,,,,,,0.0,0.764,1.0,0.866,0.764,0.713,0.878,0.0,0.528,1.0,0.691,0.528,0.632,0.702,2025-12-21T20:41:18.869461Z,,,,0.0,15000.0,0.5,,0.0,,,,,,,,,,,False,,,
stage10_001,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\top50'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,123.0,0.05,0.98,0.706,0.821,0.794,0.858,0.922,0.05,0.984,0.614,0.756,0.813,0.823,0.822,2025-12-21T20:41:19.352703Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage10_002,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\top50'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,456.0,0.95,0.881,0.917,0.899,0.862,0.942,0.968,1.0,0.983,0.701,0.819,0.854,0.929,0.932,2025-12-21T20:41:19.925625Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage10_003,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\top50'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,789.0,0.0,0.667,1.0,0.8,0.667,0.793,0.862,0.05,0.997,0.539,0.699,0.782,0.774,0.762,2025-12-21T20:41:20.446525Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_001,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",[],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,123.0,0.0,0.667,1.0,0.8,0.667,0.883,0.929,0.05,0.98,0.581,0.73,0.797,0.84,0.841,2025-12-21T20:41:21.107370Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_002,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",[],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,123.0,0.0,0.667,1.0,0.8,0.667,0.886,0.937,0.05,0.993,0.583,0.735,0.801,0.842,0.849,2025-12-21T20:41:21.815323Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_003,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\small'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,123.0,0.95,0.864,0.951,0.905,0.867,0.941,0.963,1.0,0.877,0.704,0.781,0.814,0.854,0.82,2025-12-21T20:41:22.685855Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_004,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\small'],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,123.0,0.05,0.968,0.7,0.812,0.784,0.871,0.931,0.05,0.953,0.677,0.791,0.832,0.884,0.895,2025-12-21T20:41:23.565274Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_005,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\medium'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,123.0,0.05,0.991,0.712,0.829,0.804,0.877,0.922,0.1,0.989,0.598,0.745,0.807,0.808,0.801,2025-12-21T20:41:24.835092Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_006,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\medium'],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,123.0,0.5,0.918,0.892,0.905,0.875,0.925,0.949,1.0,0.962,0.603,0.741,0.801,0.808,0.824,2025-12-21T20:41:25.702396Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_007,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\top50'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,123.0,0.05,0.98,0.731,0.838,0.811,0.908,0.952,0.05,0.976,0.632,0.767,0.819,0.854,0.869,2025-12-21T20:41:26.437788Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_008,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\top50'],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,123.0,0.25,0.907,0.906,0.906,0.875,0.944,0.969,0.15,0.817,0.759,0.787,0.806,0.872,0.884,2025-12-21T20:41:27.162099Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_009,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\large'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,123.0,0.05,0.681,0.996,0.809,0.686,0.776,0.903,0.5,0.925,0.574,0.709,0.777,0.794,0.838,2025-12-21T20:41:27.959234Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_010,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\large'],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,123.0,0.25,0.797,0.934,0.86,0.797,0.91,0.96,0.3,0.769,0.792,0.78,0.79,0.877,0.896,2025-12-21T20:41:28.715161Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_011,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",[],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,456.0,0.1,0.719,0.978,0.828,0.73,0.842,0.928,0.5,0.951,0.56,0.705,0.779,0.779,0.829,2025-12-21T20:41:29.392037Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_012,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",[],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,456.0,0.25,0.874,0.873,0.873,0.831,0.919,0.964,0.45,0.916,0.769,0.836,0.858,0.918,0.932,2025-12-21T20:41:30.120918Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_013,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\small'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,456.0,0.55,0.872,0.893,0.882,0.841,0.917,0.958,0.95,0.894,0.686,0.776,0.814,0.869,0.891,2025-12-21T20:41:30.915481Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_014,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\small'],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,456.0,0.65,0.917,0.782,0.844,0.807,0.879,0.948,0.9,0.952,0.579,0.72,0.788,0.797,0.845,2025-12-21T20:41:31.912460Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_015,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\medium'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,456.0,0.0,0.667,1.0,0.8,0.667,0.823,0.896,0.05,0.982,0.579,0.728,0.796,0.805,0.81,2025-12-21T20:41:32.586684Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_016,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\medium'],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,456.0,0.8,0.845,0.85,0.848,0.796,0.888,0.95,0.95,0.684,0.777,0.727,0.725,0.846,0.869,2025-12-21T20:41:33.245811Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_017,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\top50'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,456.0,0.15,0.926,0.904,0.915,0.888,0.95,0.976,0.35,0.876,0.803,0.838,0.853,0.921,0.931,2025-12-21T20:41:33.871152Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_018,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\top50'],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,456.0,0.05,0.941,0.845,0.89,0.861,0.931,0.969,0.35,0.917,0.758,0.83,0.853,0.909,0.926,2025-12-21T20:41:34.544157Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_019,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\large'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,456.0,0.2,0.793,0.91,0.848,0.782,0.876,0.942,0.5,0.833,0.736,0.781,0.806,0.883,0.898,2025-12-21T20:41:35.196000Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_020,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\large'],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,456.0,0.05,0.987,0.727,0.837,0.811,0.871,0.916,0.05,0.983,0.607,0.751,0.81,0.804,0.794,2025-12-21T20:41:35.851653Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
